A_bal,D_cred,P_st_cred,Cred_am,Val_sa_st,Len_emp,Ins_perc ,D_addr,Age,Class*
2,6,1,1169,1,5,4,4,67,1
3,48,2,5951,2,3,2,2,22,2
1,12,1,2096,2,4,2,3,49,1
2,42,2,7882,2,4,2,4,45,1
2,24,0,4870,2,3,3,4,53,2
1,36,2,9055,1,3,2,4,35,1
1,24,2,2835,4,5,3,4,53,1
3,36,2,6948,2,3,2,2,35,1
1,12,2,3059,5,4,2,4,61,1
3,30,1,5234,2,1,4,2,28,2
3,12,2,1295,2,2,3,1,25,2
2,48,2,4308,2,2,3,4,24,2
3,12,2,1567,2,3,1,1,22,1
2,24,1,1199,2,5,4,4,60,2
2,15,2,1403,2,3,2,4,28,1
2,24,2,1282,3,3,4,2,32,2
1,24,1,2424,1,5,4,4,53,1
2,30,4,8072,1,2,2,3,25,1
3,24,2,12579,2,5,4,2,44,2
1,24,2,3430,4,5,3,2,31,1
1,9,1,2134,2,3,4,4,48,1
2,6,2,2647,4,3,2,3,44,1
2,10,1,2241,2,2,1,3,48,1
3,12,1,1804,3,2,3,4,44,1
1,10,1,2069,1,3,2,1,26,1
2,6,2,1374,2,3,1,2,36,1
1,6,4,426,2,5,4,4,39,1
4,12,3,409,5,3,3,3,42,1
3,7,2,2415,2,3,3,2,34,1
2,60,0,6836,2,5,3,4,63,2
3,18,2,1913,5,2,3,3,36,1
2,24,2,4020,2,3,2,2,27,1
3,18,2,5866,3,3,2,2,30,1
1,12,1,1264,1,5,4,4,57,1
4,12,2,1474,2,2,4,1,33,1
3,45,1,4746,2,2,4,2,25,2
1,48,1,6110,2,3,1,3,31,1
4,18,2,2100,2,3,4,2,37,2
4,10,2,1225,2,3,2,2,37,1
3,9,2,458,2,3,4,3,24,1
1,30,2,2333,4,5,4,2,30,1
3,12,2,1158,4,3,3,1,26,1
3,18,0,6204,2,3,2,4,44,1
2,30,1,6187,3,4,1,4,24,1
2,48,1,6143,2,5,4,4,58,2
1,11,1,1393,2,2,4,4,35,1
1,36,2,2299,4,5,4,4,39,1
2,6,2,1352,4,1,1,2,23,1
1,11,1,7228,2,3,1,4,39,1
1,12,2,2073,3,3,4,2,28,1
3,24,0,2333,1,2,4,2,29,1
3,27,0,5965,2,5,1,2,30,1
1,12,2,1262,2,3,3,2,25,1
1,18,2,3378,1,3,2,1,31,1
3,36,0,2225,2,5,4,4,57,2
1,6,3,783,1,3,1,2,26,1
3,12,2,6468,1,1,2,1,52,2
1,36,1,9566,2,3,2,2,31,1
4,18,2,1961,2,5,3,2,23,1
2,36,1,6229,2,2,4,4,23,2
3,9,2,1391,2,3,2,1,27,1
3,15,1,1537,1,5,4,4,50,1
3,36,4,1953,2,5,4,4,61,2
3,48,4,14421,2,3,2,2,25,2
1,24,2,3181,2,2,4,4,26,1
1,27,2,5190,1,5,4,4,48,1
1,12,2,2171,2,2,2,2,29,1
3,12,2,1007,5,3,4,1,22,1
1,36,2,1819,2,3,4,4,37,2
1,36,2,2394,1,3,4,4,25,1
1,36,2,8133,2,3,1,2,30,1
1,7,1,730,1,5,4,2,46,1
2,8,1,1164,2,5,3,4,51,1
3,42,1,5954,2,4,2,1,41,1
2,36,2,1977,1,5,4,4,40,2
2,12,1,1526,2,5,4,4,66,1
2,42,2,3965,2,2,4,3,34,2
3,11,0,4771,2,4,2,4,51,1
1,54,4,9436,1,3,2,2,39,1
3,30,2,3832,2,2,2,1,22,1
1,24,2,5943,1,2,1,1,44,2
1,15,2,1213,4,5,4,3,47,1
1,18,2,1568,3,3,3,4,24,1
2,24,2,1755,2,5,4,4,58,1
2,10,2,2315,2,5,3,4,52,1
1,12,1,1412,2,3,4,2,29,1
3,18,1,1295,2,2,4,1,27,1
3,36,2,12612,3,3,1,4,47,2
2,18,2,2249,3,4,4,3,30,1
2,12,4,1108,2,4,4,3,28,2
1,12,1,618,2,5,4,4,56,1
2,12,1,1409,2,5,4,3,54,1
1,12,1,797,1,5,4,3,33,2
4,24,1,3617,1,5,4,4,20,1
3,12,2,1318,5,5,4,4,54,1
3,54,4,15945,2,2,3,4,58,2
1,12,1,2012,1,4,4,2,61,1
3,18,2,2622,3,3,4,4,34,1
3,36,1,2337,2,5,4,4,36,1
3,20,0,7057,1,4,3,4,36,1
1,24,2,1469,3,5,4,4,41,1
3,36,2,2323,2,4,4,4,24,1
1,6,0,932,2,3,3,2,24,1
3,9,1,1919,2,4,4,3,35,1
1,12,2,2445,1,2,2,4,26,1
3,24,1,11938,2,3,2,3,39,2
1,18,3,6458,2,5,2,4,39,2
3,12,2,6078,2,4,2,2,32,1
2,24,2,7721,1,2,1,2,30,1
3,14,2,1410,4,5,1,2,35,1
3,6,0,1449,3,5,1,2,31,1
4,15,2,392,2,2,4,4,23,1
3,18,2,6260,2,4,3,3,28,1
1,36,1,7855,2,3,4,2,25,2
2,12,2,1680,4,5,3,1,35,1
1,48,1,3578,1,5,4,1,47,1
2,42,2,7174,1,4,4,3,30,2
2,10,1,2132,1,2,2,3,27,1
2,33,1,4281,4,3,1,4,23,2
3,12,1,2366,4,4,3,3,36,1
2,21,2,1835,2,3,3,2,25,2
1,24,1,3868,2,5,4,2,41,1
1,12,2,1768,2,3,3,2,24,1
4,10,1,781,2,5,4,4,63,1
3,18,2,1924,1,2,4,3,27,2
2,12,1,2121,2,3,4,2,30,1
2,12,2,701,2,3,4,2,40,1
3,12,2,639,2,3,4,2,30,2
3,12,1,1860,2,1,4,2,34,1
2,12,1,3499,2,3,3,2,29,2
3,48,2,8487,1,4,1,2,24,1
2,36,0,6887,2,3,4,3,29,2
1,15,2,2708,2,2,2,3,27,1
1,18,2,1984,2,3,4,4,47,1
1,60,2,10144,3,4,2,4,21,1
1,12,1,1240,1,5,4,2,38,1
1,27,0,8613,5,3,2,2,27,1
3,12,2,766,4,3,4,3,66,2
3,15,1,2728,1,4,4,2,35,1
4,12,2,1881,2,3,2,2,44,1
4,6,2,709,5,2,2,2,27,1
3,36,2,4795,2,2,4,1,30,1
2,27,2,3416,2,3,3,2,27,1
2,18,2,2462,2,3,2,2,22,2
1,21,1,2288,2,2,4,4,23,1
3,48,3,3566,3,4,4,2,30,1
2,6,1,860,2,5,1,4,39,1
1,12,1,682,3,4,4,3,51,1
2,36,1,5371,2,3,3,2,28,1
1,18,1,1582,5,5,4,4,46,1
1,6,2,1346,3,5,2,4,42,1
1,10,2,1924,2,3,1,4,38,1
4,36,2,5848,2,3,4,1,24,1
3,24,1,7758,5,5,2,4,29,1
3,24,0,6967,3,4,4,4,36,1
2,12,2,1282,2,3,2,4,20,2
2,9,1,1288,3,5,3,4,48,1
2,12,3,339,2,5,4,1,45,1
3,24,2,3512,3,4,2,3,38,1
1,6,1,1898,1,3,1,2,34,1
1,24,1,2872,3,5,3,4,36,1
1,18,1,1055,2,2,4,1,30,1
1,15,2,1262,4,4,4,3,36,1
3,10,2,7308,2,1,2,4,70,1
1,36,2,909,4,5,4,4,36,1
1,6,2,2978,4,3,1,2,32,1
2,18,2,1131,2,1,4,2,33,2
3,11,2,1577,5,2,4,1,20,1
1,24,2,3972,2,4,2,4,25,1
3,24,1,1935,2,5,4,4,31,2
2,15,4,950,2,5,4,3,33,2
1,12,2,763,2,3,4,1,26,1
3,24,0,2064,2,1,3,2,34,2
3,8,2,1414,2,3,4,2,33,1
2,21,0,3414,2,2,2,1,26,2
1,30,3,7485,1,1,4,1,53,2
2,12,2,2577,2,3,2,1,42,1
2,6,1,338,4,5,4,4,52,1
1,12,2,1963,2,4,4,2,31,1
2,21,1,571,2,5,4,4,65,1
1,36,0,9572,2,2,1,1,28,2
3,36,0,4455,2,3,2,2,30,2
2,21,3,1647,1,3,4,2,40,2
1,24,1,3777,5,3,4,4,50,1
3,18,1,884,2,5,4,4,36,2
1,15,1,1360,2,3,4,2,31,1
3,9,3,5129,2,5,2,4,74,2
3,16,1,1175,2,1,2,3,68,1
2,12,2,674,3,4,4,1,20,2
3,18,4,3244,2,3,1,4,33,1
1,24,2,4591,5,3,2,3,54,2
3,48,4,3844,3,4,4,4,34,2
3,27,2,3915,2,3,4,2,36,2
1,6,2,2108,2,4,2,2,29,1
3,45,2,3031,3,3,4,4,21,2
3,9,1,1501,2,5,2,3,34,2
1,6,1,1382,2,3,1,1,28,1
3,12,2,951,3,2,4,4,27,2
3,24,2,2760,1,5,4,4,36,1
3,18,0,4297,2,5,4,3,40,2
1,9,1,936,4,5,4,2,52,1
2,12,2,1168,2,3,4,3,27,1
1,27,0,5117,2,4,3,4,26,1
2,12,2,902,2,4,4,4,21,2
1,12,1,1495,2,5,4,1,38,1
2,30,1,10623,2,5,3,4,38,1
1,12,1,1935,2,5,4,4,43,1
3,12,1,1424,2,4,4,3,26,1
2,24,2,6568,2,3,2,2,21,1
1,12,2,1413,5,4,3,2,55,1
1,9,1,3074,1,3,1,2,33,1
1,36,2,3835,1,5,2,4,45,1
2,27,4,5293,2,1,2,4,50,2
4,30,0,1908,2,5,4,4,66,2
1,36,1,3342,1,5,4,2,51,1
3,6,1,932,1,4,1,3,39,1
2,18,4,3104,2,4,3,1,31,1
4,36,2,3913,2,3,2,2,23,1
2,24,2,3021,2,3,2,2,24,1
1,10,2,1364,2,3,2,4,64,1
3,12,2,625,2,2,4,1,26,1
2,12,2,1200,1,3,4,4,23,1
1,12,2,707,2,3,4,2,30,1
1,24,0,2978,1,3,4,4,32,1
1,15,2,4657,2,3,3,2,30,1
1,36,4,2613,2,3,4,2,27,1
3,48,2,10961,5,4,1,2,27,2
2,12,2,7865,2,5,4,4,53,2
1,9,2,1478,2,4,4,2,22,2
2,24,2,3149,2,2,4,1,22,1
4,36,2,4210,2,3,4,2,26,2
1,9,2,2507,4,5,2,4,51,1
1,12,2,2141,3,4,3,1,35,1
3,18,2,866,2,3,4,2,25,1
1,4,1,1544,2,4,2,1,42,1
2,24,2,1823,2,1,4,2,30,2
3,6,2,14555,1,1,1,2,23,2
3,21,2,2767,3,5,4,2,61,2
1,12,1,1291,2,3,4,2,35,1
2,30,2,2522,2,5,1,3,39,1
2,24,2,915,1,5,4,2,29,2
1,6,2,1595,2,4,3,2,51,1
2,48,4,4605,2,5,3,4,24,2
1,12,1,1185,2,3,3,2,27,1
1,12,3,3447,4,3,4,3,35,1
1,24,2,1258,2,4,4,1,25,1
1,12,1,717,2,5,4,4,52,1
1,6,4,1204,3,3,4,1,35,1
4,24,2,1925,2,3,2,2,26,1
1,18,2,433,2,1,3,4,22,2
2,6,1,666,5,4,3,4,39,1
4,12,2,2251,2,3,1,2,46,1
3,30,2,2150,2,3,4,2,24,2
1,24,0,4151,3,3,2,3,35,1
3,9,2,2030,1,4,2,1,24,1
3,60,0,7418,1,3,1,1,27,1
1,24,1,2684,2,3,4,2,35,1
2,12,3,2149,2,3,4,1,29,2
1,15,2,3812,3,2,1,4,23,1
1,11,1,1154,3,1,4,4,57,1
2,12,2,1657,2,3,2,2,27,1
2,24,2,1603,2,5,4,4,55,1
2,18,1,5302,2,5,2,4,36,1
1,12,1,2748,2,5,2,4,57,1
1,10,1,1231,2,5,3,4,32,1
3,15,2,802,2,5,4,3,37,2
1,36,1,6304,1,5,4,4,36,1
1,24,2,1533,2,2,4,3,38,1
2,14,2,8978,2,5,1,4,45,2
1,24,2,999,1,5,4,2,25,1
1,18,2,2662,1,4,4,3,32,1
1,12,1,1402,4,4,3,4,37,1
3,48,3,12169,1,1,4,4,36,1
3,48,2,3060,2,4,4,4,28,2
2,30,2,11998,2,2,1,1,34,2
1,9,2,2697,2,3,1,2,32,1
1,18,1,2404,2,3,2,2,26,1
2,12,2,1262,1,5,2,4,49,1
1,6,2,4611,2,2,1,4,32,2
1,24,2,1901,3,3,4,4,29,1
1,15,1,3368,5,5,3,4,23,1
1,12,2,1574,2,3,4,2,50,1
4,18,3,1445,1,4,4,4,49,1
1,15,1,1520,1,5,4,4,63,1
3,24,1,3878,3,2,4,2,37,1
2,47,2,10722,2,2,1,1,35,1
2,48,2,4788,2,4,4,3,26,1
3,48,0,7582,3,1,2,4,31,1
3,12,2,1092,2,3,4,4,49,1
2,24,0,1024,2,2,4,4,48,2
1,12,2,1076,2,3,2,2,26,1
3,36,2,9398,2,2,1,4,28,2
2,24,1,6419,2,5,2,4,44,1
4,42,1,4796,2,5,4,4,56,1
1,48,1,7629,1,5,4,2,46,1
3,48,2,9960,2,2,1,2,26,2
1,12,2,4675,1,2,1,4,20,1
1,10,2,1287,1,5,4,2,45,1
1,18,2,2515,2,3,3,4,43,1
3,21,1,2745,5,4,3,2,32,1
1,6,2,672,2,1,1,4,54,1
3,36,4,3804,2,3,4,1,42,2
4,24,1,1344,1,4,4,2,37,2
2,10,1,1038,2,4,4,3,49,1
1,48,1,10127,4,3,2,2,44,2
1,6,2,1543,5,3,4,2,33,1
1,30,2,4811,1,4,2,4,24,1
2,12,2,727,3,2,4,3,33,2
3,8,2,1237,2,3,3,4,24,2
3,9,2,276,2,3,4,4,22,1
3,48,2,5381,1,1,3,4,40,1
1,24,2,5511,3,3,4,1,25,1
4,24,2,3749,2,2,2,4,26,1
3,12,2,685,2,4,2,3,25,2
4,4,2,1494,1,2,1,2,29,1
2,36,3,2746,2,5,4,4,31,2
2,12,2,708,2,3,2,3,38,1
3,24,2,4351,1,3,1,4,48,1
1,12,1,701,2,3,4,2,32,1
2,15,0,3643,2,5,1,4,27,1
3,30,1,4249,2,1,4,2,28,2
2,24,2,1938,2,2,4,3,32,2
2,24,2,2910,2,4,2,1,34,1
2,18,2,2659,5,3,4,2,28,1
1,18,1,1028,2,3,4,3,36,1
2,8,1,3398,2,4,1,4,39,1
1,12,1,5801,1,5,2,4,49,1
1,24,2,1525,5,4,4,3,34,1
4,36,2,4473,2,5,4,2,31,1
3,6,2,1068,2,5,4,4,28,1
2,24,1,6615,2,1,2,4,75,1
1,18,1,1864,3,3,4,2,30,2
3,60,2,7408,3,2,4,2,24,2
1,48,1,11590,3,3,2,4,24,2
2,24,4,4110,2,5,3,4,23,2
2,6,1,3384,2,3,1,4,44,2
3,13,2,2101,2,2,2,4,23,1
2,15,2,1275,1,3,4,2,24,2
2,24,2,4169,2,3,4,4,28,1
3,10,2,1521,2,3,4,2,31,1
3,24,1,5743,2,2,2,4,24,1
2,21,2,3599,2,4,1,4,26,1
3,18,2,3213,4,2,1,3,25,1
3,18,2,4439,2,5,1,1,33,1
4,10,2,3949,2,2,1,1,37,1
1,15,1,1459,2,3,4,2,43,1
3,13,1,882,2,2,4,4,23,1
3,24,2,3758,4,1,1,4,23,1
1,6,0,1743,3,3,1,2,34,1
3,9,1,1136,5,5,4,3,32,2
1,9,2,1236,2,2,1,4,23,1
3,9,2,959,2,3,1,2,29,2
1,18,1,3229,1,1,2,4,38,1
2,12,4,6199,2,3,4,2,28,2
1,10,2,727,4,5,4,4,46,1
3,24,2,1246,2,2,4,2,23,2
1,12,1,2331,1,5,1,4,49,1
1,36,0,4463,2,3,4,2,26,2
1,12,2,776,2,3,4,2,28,1
2,30,2,2406,2,4,4,4,23,2
3,18,2,1239,1,3,4,4,61,1
4,12,2,3399,1,5,2,3,37,1
4,12,0,2247,2,3,2,2,36,1
1,6,2,1766,2,3,1,2,21,1
2,18,2,2473,2,1,4,1,25,2
1,12,2,1542,2,4,2,4,36,1
1,18,1,3850,2,4,3,1,27,1
2,18,2,3650,2,2,1,4,22,1
2,36,2,3446,2,5,4,2,42,2
3,18,2,3001,2,4,2,4,40,1
1,36,2,3079,1,3,4,4,36,1
1,18,1,6070,2,5,3,4,33,1
1,10,1,2146,2,2,1,3,23,1
1,60,1,13756,1,5,2,4,63,1
3,60,3,14782,3,5,3,4,60,2
2,48,3,7685,2,4,2,4,37,2
1,18,0,2320,2,1,2,3,34,1
1,7,0,846,1,5,3,4,36,1
3,36,2,14318,2,5,4,2,57,2
1,6,1,362,3,3,4,4,52,1
2,20,2,2212,1,4,4,4,39,1
3,18,2,12976,2,1,3,4,38,2
1,22,2,1283,1,4,4,4,25,1
4,12,2,1330,2,2,4,1,26,1
1,30,0,4272,3,3,2,2,26,1
1,18,1,2238,2,3,2,1,25,1
1,18,2,1126,1,2,4,2,21,1
3,18,1,7374,2,1,4,4,40,1
3,15,1,2326,4,3,2,4,27,1
1,9,2,1449,2,4,3,2,27,1
1,18,2,1820,2,3,2,2,30,1
3,12,2,983,5,2,1,4,19,1
2,36,2,3249,2,4,2,4,39,1
2,6,1,1957,2,4,1,4,31,1
1,9,1,2406,2,1,2,3,31,1
3,39,0,11760,3,4,2,3,32,1
2,12,2,2578,2,1,3,4,55,1
2,36,1,2348,2,3,3,2,46,1
3,12,2,1223,2,5,1,1,46,2
1,24,1,1516,5,3,4,1,43,1
1,18,2,1473,2,2,3,4,39,1
3,18,1,1887,1,3,4,4,28,1
1,24,0,8648,2,2,2,2,27,2
1,14,0,802,2,3,4,2,27,1
3,18,0,2899,1,5,4,4,43,1
3,24,2,2039,2,2,1,1,22,2
1,24,1,2197,1,4,4,4,43,1
2,15,2,1053,2,2,4,2,27,1
1,24,2,3235,4,5,3,2,26,1
4,12,1,939,4,4,4,2,28,2
3,24,2,1967,2,5,4,4,20,1
1,33,1,7253,2,4,3,2,35,1
1,12,1,2292,2,1,4,2,42,2
1,10,2,1597,4,3,3,2,40,1
2,24,2,1381,1,3,4,2,35,2
1,36,1,5842,2,5,2,2,35,1
2,12,2,2579,2,2,4,1,33,2
2,18,0,8471,1,3,1,2,23,1
1,21,2,2782,4,4,1,2,31,1
3,18,2,1042,1,3,4,2,33,2
1,15,2,3186,5,4,2,3,20,1
3,12,2,2028,1,3,4,2,30,1
3,12,1,958,2,4,2,3,47,1
1,21,0,1591,3,4,4,3,34,1
3,12,2,2762,1,5,1,2,25,2
3,18,2,2779,2,3,1,3,21,1
1,28,1,2743,2,5,4,2,29,1
1,18,1,1149,5,3,4,3,46,1
1,9,2,1313,2,5,1,4,20,1
2,18,1,1190,2,1,2,4,55,2
1,5,2,3448,2,4,1,4,74,1
3,24,2,11328,2,3,2,3,29,2
2,6,1,1872,2,1,4,4,36,1
1,24,1,2058,2,3,4,2,33,1
2,9,2,2136,2,3,3,2,25,1
3,12,2,1484,1,3,2,1,25,2
1,6,2,660,4,4,2,4,23,1
1,24,1,1287,5,5,4,4,37,1
2,42,1,3394,2,1,4,4,65,1
4,12,3,609,2,2,4,1,26,2
1,12,2,1884,2,5,4,4,39,1
2,12,2,1620,2,3,2,3,30,1
3,20,0,2629,2,3,2,3,29,1
1,12,2,719,2,5,4,4,41,2
3,48,1,5096,2,3,2,3,30,2
1,9,1,1244,1,5,4,4,41,1
2,36,2,1842,2,2,4,4,34,2
3,7,2,2576,2,3,2,2,35,1
4,12,2,1424,1,5,3,4,55,1
3,15,0,1512,5,3,3,3,61,2
1,36,1,11054,1,3,4,2,30,1
1,6,2,518,2,3,3,1,29,1
1,12,4,2759,2,5,2,4,34,1
1,24,2,2670,2,5,4,4,35,1
2,24,2,4817,2,4,2,3,31,2
1,24,2,2679,2,2,4,1,29,1
2,11,1,3905,2,3,2,2,36,1
2,12,2,3386,2,5,3,4,35,2
2,6,2,343,2,2,4,1,27,1
1,18,2,4594,2,2,3,2,32,1
2,36,2,3620,2,3,1,2,37,1
2,15,2,1721,2,2,2,3,36,1
3,12,2,3017,2,2,3,1,34,1
3,12,2,754,1,5,4,4,38,1
1,18,2,1950,2,4,4,1,34,1
2,24,2,2924,2,3,3,4,63,1
2,24,0,1659,2,2,4,2,29,2
1,48,0,7238,1,5,3,3,32,1
1,33,0,2764,2,3,2,2,26,1
1,24,0,4679,2,4,3,3,35,1
3,24,2,3092,3,2,3,2,22,2
2,6,2,448,2,2,4,4,23,2
2,9,2,654,2,3,4,3,28,2
1,6,2,1238,1,1,4,4,36,1
3,18,1,1245,2,3,4,2,33,2
2,18,4,3114,2,2,1,4,26,2
1,39,2,2569,4,3,4,4,24,1
4,24,2,5152,2,4,4,2,25,1
3,12,2,1037,3,4,3,4,39,1
2,15,1,1478,2,5,4,4,44,1
3,12,1,3573,2,3,1,1,23,1
3,24,2,1201,2,2,4,1,26,1
2,30,2,3622,5,5,4,4,57,1
1,15,0,960,5,4,3,2,30,1
1,12,1,1163,4,3,4,4,44,1
3,6,0,1209,2,1,4,4,47,2
1,12,2,3077,2,3,2,4,52,1
1,24,2,3757,2,5,4,4,62,1
1,10,2,1418,3,3,3,2,35,1
1,6,2,3518,2,3,2,3,26,1
1,12,1,1934,2,5,2,2,26,1
3,27,4,8318,2,5,2,4,42,2
1,6,1,1237,3,3,1,1,27,1
3,6,2,368,1,5,4,4,38,1
2,12,1,2122,2,3,3,2,39,1
2,24,2,2996,1,3,2,4,20,2
3,36,2,9034,3,2,4,1,29,2
1,24,1,1585,2,4,4,3,40,1
